place,artist,counts
308,Phineas And Ferb,2529.0
309,Alice In Chains,2524.0
310,Nickelback,2505.0
311,Doobie Brothers,2496.0
312,Andy Williams,2496.0
313,Gloria Estefan,2491.0
314,Josh Groban,2489.0
315,Kirk Franklin,2487.0
316,Tina Turner,2482.0
317,Waterboys,2479.0
318,Wanda Jackson,2474.0
319,Allman Brothers Band,2462.0
320,The Killers,2461.0
321,Maroon 5,2461.0
322,Weezer,2456.0
323,Pat Benatar,2446.0
324,Kelly Family,2445.0
325,Dire Straits,2432.0
326,Carpenters,2431.0
327,Tracy Chapman,2429.0
328,Justin Timberlake,2428.0
329,Sublime,2416.0
330,Children,2400.0
331,Cat Stevens,2399.0
332,Rainbow,2393.0
333,Faith No More,2388.0
334,Crowded House,2384.0
335,Eddie Cochran,2381.0
336,Demi Lovato,2376.0
337,Nirvana,2375.0
338,Taylor Swift,2373.0
339,Bob Rivers,2370.0
340,Ray Boltz,2363.0
341,Westlife,2362.0
342,Michael Buble,2359.0
343,John Waite,2352.0
344,Train,2334.0
345,Leo Sayer,2327.0
346,Virgin Steele,2306.0
347,Opeth,2304.0
348,Religious Music,2292.0
349,Wishbone Ash,2273.0
350,Roxy Music,2258.0
351,Lloyd Cole,2258.0
352,Steve Miller Band,2254.0
353,O.A.R.,2243.0
354,Human League,2233.0
355,Eric Clapton,2221.0
356,Yngwie Malmsteen,2220.0
357,Norah Jones,2208.0
358,Whitney Houston,2208.0
359,Old 97's,2196.0
360,Santana,2195.0
361,Tears For Fears,2189.0
362,Nine Inch Nails,2183.0
363,Proclaimers,2178.0
364,Coldplay,2177.0
365,Irving Berlin,2173.0
366,Bruno Mars,2167.0
367,Extreme,2165.0
368,Harry Belafonte,2163.0
369,Janis Joplin,2156.0
370,Violent Femmes,2152.0
371,Ed Sheeran,2147.0
372,Lea Salonga,2142.0
373,Our Lady Peace,2137.0
374,Lionel Richie,2134.0
375,Ziggy Marley,2134.0
376,Engelbert Humperdinck,2127.0
377,Doris Day,2123.0
378,'n Sync,2116.0
379,Phil Collins,2115.0
380,Ocean Colour Scene,2114.0
381,Q-Tip,2113.0
382,Yo Gotti,2113.0
383,Cake,2107.0
384,Tom Lehrer,2096.0
385,HIM,2092.0
386,System Of A Down,2089.0
387,Les Miserables,2081.0
388,Yoko Ono,2077.0
389,One Direction,2070.0
390,Jim Croce,2069.0
391,New Order,2067.0
392,Supertramp,2067.0
393,Hillsong United,2061.0
394,Bob Marley,2056.0
395,Gary Valenciano,2054.0
396,Ellie Goulding,2041.0
397,King Crimson,2038.0
398,Lucky Dube,2038.0
399,Youngbloodz,2037.0
400,Ultravox,2033.0
401,Young Buck,2028.0
402,Modern Talking,2022.0
403,Sia,2011.0
404,Travis,2010.0
405,Fiona Apple,2002.0
406,Grand Funk Railroad,1994.0
407,You Am I,1988.0
408,Smiths,1987.0
409,Enrique Iglesias,1984.0
410,Foreigner,1983.0
411,Whitesnake,1980.0
412,Freestyle,1977.0
413,Isley Brothers,1970.0
414,Hillsong,1967.0
415,Ultramagnetic Mc's,1964.0
416,Don Henley,1956.0
417,Soundgarden,1954.0
418,Otis Redding,1954.0
419,Judds,1948.0
420,Ace Of Base,1948.0
421,Queens Of The Stone Age,1936.0
422,Death,1908.0
423,Yelawolf,1887.0
424,Uncle Kracker,1886.0
425,Keith Green,1884.0
426,Used,1882.0
427,Tim Buckley,1882.0
428,Face To Face,1881.0
429,Etta James,1876.0
430,The White Stripes,1872.0
431,Ofra Haza,1866.0
432,Culture Club,1855.0
433,Omd,1850.0
434,Quiet Riot,1814.0
435,Bread,1799.0
436,Kim Wilde,1797.0
437,Stone Temple Pilots,1795.0
438,Natalie Imbruglia,1786.0
439,Yello,1761.0
440,Nick Drake,1759.0
441,Within Temptation,1749.0
442,Tool,1737.0
443,Natalie Grant,1735.0
444,Indiana Bible College,1734.0
445,Yellowcard,1698.0
446,Fastball,1693.0
447,Underworld,1682.0
448,Peter Tosh,1676.0
449,Underoath,1673.0
450,Europe,1664.0
451,Vanessa Williams,1659.0
452,Out Of Eden,1658.0
453,Peter Cetera,1658.0
454,Annie,1657.0
455,Ariana Grande,1652.0
456,Vonda Shepard,1638.0
457,Idina Menzel,1636.0
458,Matt Redman,1630.0
459,Fatboy Slim,1628.0
460,Vertical Horizon,1627.0
461,Olly Murs,1620.0
462,Joy Division,1619.0
463,Mc Hammer,1617.0
464,Passenger,1615.0
465,Incognito,1608.0
466,Rammstein,1607.0
467,Velvet Underground,1601.0
468,Twenty One Pilots,1596.0
469,Evanescence,1587.0
470,David Guetta,1577.0
471,Migos,1566.0
472,John Martyn,1566.0
473,Rem,1560.0
474,Bryan White,1557.0
475,Adele,1549.0
476,Tiffany,1547.0
477,Gloria Gaynor,1546.0
478,Yolanda Adams,1540.0
479,Wet Wet Wet,1528.0
480,Bosson,1525.0
481,Kyla,1512.0
482,Cinderella,1508.0
483,Spandau Ballet,1502.0
484,Unearth,1498.0
